id,scenario_id,category,title,description,listing_price,buyer_target,buyer_cost,seller_target,seller_cost
22,S_9DGMBWjwropt4dwn,housing,GORGEOUS SINGLE HOUSE NEAR THE TEMPLES,"This charming family house has very bright natural light all year around and on a quiet residential area near the Mormon Temple. Close to highways 13 and 580 with easy commute to Berkeley, also SF by bus or casual car pool. Close to Montclair village, post office and banks, farmers' market, etc. Decorative fireplace in living room. All hardwood floors. Central heating system. Gourmet kitchen with granite counter top. Gas stove/oven, Refrigerator and Dishwasher included. Washer and Dryer hookups available. Lovely breakfast nook with lots of light. Detached one car garage and long driveway. Front/back yards. (It can be a nice organic vegetable garden.) No smoking/drugs. No pets. No section 8. Steady job, good credit. If interested, please leave names, phone numbers with self introduction for all occupants. What is your moving schedule and available time to view the house? Shown by appointment only. Thanks.",2599,2391,2599,2599,2372
23,S_10pCXQ3Uop95sxQF,bike,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,600,456,600,600,434
24,S_ByhmG8D2SxX7uMws,bike,SOMA Doublecross 60 Ultegra Ritchey Carbon,"This is a SOMA Doublecross with a great touring/hybrid setup.  It has a Ritchey Carbon fork and King headset.  Shimano Ultegra gear set and derailleurs.  The Mavic CXP wheelset is two months old and has fresh continental touring plus tires.  I just road it across Oregon and it performed beautifully.  The pedals are hybrid mountain SPD clip pedals. The bike does not include the Cateye system. I put the thinner tires on for mainly road touring, however, I also have some thicker tires that worked fine when riding dirt trails etc for more CX use.",800,480,800,800,423
25,S_DLTsTPwflfZ5zo2S,housing,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust EMME Apartment Homes 6350 Christie Ave, Emeryville, CA 94608 We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances! All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation! Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart! Schedule your appointment today!! Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM! *Equal Housing Opportunity* *Prices Subject to Change Daily* Disclaimer: Floor Plan measurements are approximate and are for illustrative purposes only* •Secured entry •Shared pool •Fitness center •Near transportation •Clubhouse CHECK OUT OUR WEBSITE!",2834,1700,2834,2834,1506
26,S_5leDIBxftSnHTfAp,phone,iPad 2 32gb EXCELLENT CONDITION,"Gently used, pre-LOVED iPad 2 for sale. I purchased a new iPad & my prior device needs a new home. -White/silver Comes with charging cube, charging cable & beautiful leather case or poly/plastic case of your choice. FIRM ON PRICE!",175,133,175,175,123
27,S_lIP2Vh5SwWdnCzHP,electronics,Travel Electrical Adaptor Connection Pack Adapter,"Features: *Each adapter clearly labeled for easy identification. *Selection guide makes adapter identification quick and easy *Deluxe organizer case holds all adapters *Mini-zipper case lets you carry just the adapters you need *Includes joiner and splitter utility adapters *Includes PORT retractable telephone cord 12 Telephone line adapters, 5 power line adapters, PORT retractable telephone cord, deluxe organizer case, selection guide, warranty card. Part # CMP0010 http://www.port.com",15,13,15,15,13
28,S_6fW1xzNFhUw2k0sF,furniture,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much Great For waiting room, client chairs etc.",18,16,18,18,16
29,S_5onKB8vizJkTIz5L,furniture,Armoire clothes or other Storage Cabinet PRICED TO SELL!,"Thank you for viewing this nice MCM wood armoire.  Great for storing clothes, craft items, and more!  It measures 38"" wide x 19"" deep x 60"" high.  The handle on the right door is missing, but easily replaced.",40,36,40,40,36
30,S_sLKY1fi6Tcsd1MPs,electronics,Panasonic DVD Player,"Panasonic DVD Player: in excellent condition with no blemishes, scratches or dents. Looks and operates as if new. Features: Excellent progressive-scan performance; front-panel progressive-scan button; solid MP3 support; top-notch picture; and slim. Comes with cables.",55,41,55,55,41
31,S_gXp0ypiQrLGH7Z23,electronics,Sol Republic Wireless Bluetooth Headphones,"A2 Sound Engines with clear highs and detailed deep bass Super-Power Wireless - Control Tracks Air from up to 150 feet away Connect to two devices simultaneously, including your phone, tablet or computer. Seamlessly answer an incoming call while watching a movie on your tablet. Built-in microphone for phone calls enables hands-free calling",155,93,155,155,88
32,S_pXpaXp8Br4a1HTX2,car,2010 camaro ss   on zl1 rims runs good 2018 tags clean title,selling my 2010 camaro ss  6.2L  auto and  maunal  runs good  120miles smoged   2018 tags    clean title     sun roof     on   20'' zl1 rims serious callers,14800,11248,14800,14800,10949
33,S_XnSytIZyOgJVBrlu,bike,2016 Raleigh Kodiak II 27.5 Upgraded Size L 2x10 spd.,"Got for sale a sweet 2016 Raleigh Kodiak II Full suspension w/120mm of travel front and back by Rock Shox with lockout on the front and 3 positions on the rear from Fox Factory w/Boost and Kashima Coating (pictured is the RT3 but that's not longer available) full SRAM's components i.e. SRAM XX rear der. (long cage) XO front der. XO grip shift, 175mm Race Face Turbine with CINCH technology 38/26, Praxis Works 11/40 cassette, KS Lev eTen remote (100mm travel) dropper post, and a sweet ass Roval Traverse Alloy boost+ wheelset w/DT's internals, SRAM Guide Hydro RS brakes (4 piston caliper) frame and fork is 15mm/12mm t/a and a nice Fizïk Tundra 2 kium rails. if you like to see the bike Monday's or Thursday's are the best as those are my day off, let me know if you have any questions and hit me up @ PS: NO PEDAL OR OTHER ACCESSORIES INCLUDED Thanks",2000,1520,2000,2000,1474
34,S_UV916KTTRoY5gnHC,housing,~~~STUDIO CHARM~~~,*Private bath *Fresh new look * very near to Emeryville Bay Street * West MAcArthur Bart 8 - 10 blocks away *good amount of closet space *Tiled floors Granite counters Tiled bath *Water & Pg&e payed by Tennant Please email for viewing,1400,1288,1400,1400,1258
35,S_3jIyfNT9obn8xtDJ,bike,"Nishiki Colorado 18"", vintage mountain bike","At 18"" probably best fit for those 5'8"" to 5'11"" Double-butted Tange chromalloy throughout, front fork 4130 Cr-Mo 21 speeds: front derailleur Shimano LX, back Shimano Exage, analog levers Cantilever brakes. Elliptical Biopace crank. 26 X 1.50 aluminum Araya rims, 1.95 X 26 knobbies mounted Well-maintained, everything adjusted and lubed, solid Great paint, cosmetics for its age. This bike was in inside storage for almost 20 years. Just reconditioned. This simple bike uses excellent materials and is easy to service and repair with standard parts.  The analog shifting system is very accurate and easy to adjust. This is a great bike for someone who wants a simple, tough, well-made and reliable bike. It also looks nice. If something goes wrong or out-of-whack the first few weeks I'll be glad to fix it.",169,101,169,169,88
36,S_TZ1WfW9qusypMEfv,electronics,BRAND NEW SAMSUNG'S SMART THINGS HUB,ASKING 60$... SERIOUS BUYERS ONLY PLEASE.. NO TRADES CASH ONLY.... I DON'T SHIP SO PLEASE DONT ASK... LOCAL PICKUP ONLY IN FREMONT CA... TEXT OR CALL ME ANYTIME,60,45,60,60,45
37,S_W69OFwIbWrpW6xDL,bike,KONA woman's bicycle with panniers,"Includes two Jandd panniers, Kryptonite lock, Shimano Deore gear shifts with 9 settings, bell, mirror. Great for city shopping and short trips.",200,120,200,200,112
38,S_xgKTMxiexkyJpxBU,bike,Fully custom cannondale capo track bike,Great track and crit bike Very light frame Front wheel: 510 track wheel Cog: surly Bars: bmc compact road bars with lizard skin bar tape Stem: Itm mantis Light weight spacers,600,552,600,600,549
39,S_E4wYjtIkcTocvX3N,furniture,Howard Elliott Collection Puff Scroll Ottoman Ltd Ed Design,Howard Elliott Collection Puff Scroll Ottoman Ltd Ed Design Scroll Puff Ottoman: 24w x 24d x 18h. We used this beautiful ottoman with our Monte Luca recliner for a short period of time. The cover is the heavy stitched fabric with a limited edition design. We barely used it before the rocker got moved and the room turned into a playroom! Now it is just sitting in the corner not being used. It is not even broken in yet. Great addition to brighten up your nursery. Please leave your name and number with your response. Thanks!,150,114,150,150,106
40,S_CwH6Qre6kQzqiFV5,phone,SMARTPHONE LEATHER BELT HOLSTER,"or email me at: rocksmith281@gmail for further information. I ONLY DO IN PERSON TRANSACTIONS, NO TRADES, CASH ONLY. This stylish textured leather belt holster is big enough to accommodate the iPhone, Samsung, HTC, and many more. Features a felt lined interior for maximum protection, a solid metal clip and magnetic latch. Specifications Premium quality soft leather vertical carrying case for your phone Magnetic self-closing flap allows quiet and easy access to your phone Non-bulky belt clip and loops allow you to securely attach the clip to your belt Compatible with iPhone 6 Plus, iPhone 6S PlusiPhone 7 Plus, Samsung Note 2,3,4,5, and 7 as well as LG G3,G4,G5, HTC, Nexus, Xperia and many more Standard Battery",30,22,30,30,22
41,S_5T8ye595OlC5Zhki,car,"2013 mercedes c250 *navigation* clean - $12,000","Up for sale is a 2013 c250 with only  45k. Interior is loaded with technology and in new condition, the paint is immaculate on the exterior. The tires are new. Additional options include: Navigation Attention Assist (warns you if your drowsy) Automatic Windsheild Wipers Bluetooth Audio Connectivity (for audio) Bluetooth Phone Connectivity (for phone calls) USB Connectivity AUX Connectivity iPod Connectivity New Tires Drilled Rotors LED Daytime Running Lights 7-Speed Automatic Transmission I don't need help to sell this vehicle, no trades of any kinds,",12000,9120,12000,12000,9053
43,S_hzjS4yUSlycEHasc,housing,A 4 bedroom single family house for rent in central Fremont,"This is a single family house in an excellent condition. It will be available for move-in on July 2017. It's in a very nice and quiet community with great school district. Email me for viewing or further information. Thanks. Huge living room and family room, plus 4 spacious bedrooms 2 generous bathrooms with bathtubs Great school district (Oliveira elementary, Thornton junior high, American high) Few mins drive to Bart and Lucky and 99 Supermarkets Spacious two-car garage Easy access to FWY 880 and Dumbarton Bridge. Deposit: one month rent Lease: one year minimum, longer preferred No pet or smoking. No section 8. No sub-leasing. Tenant pay all utilities. Gardening is included in the rent",3200,2432,3200,3200,2312
44,S_YTGF9NJaTXglUDmr,electronics,2 x DJI Mavic Pro Original Battery / Batteries,- Selling 2 x Gently Used DJI Mavic Pro Batteries. - Absolutely nothing wrong with them.  Just not my thing.,150,114,150,150,106
45,S_dPxVU5G2qrXAbvwc,bike,2016 Ibis Mojo HD3 for sale - Large,"Get ready for summer riding! Immaculate condition, less than 100 miles. Frame:  Carbon fiber Color:  Matte Black Fork: Fox Factory series Float 36 Shock: Fox Factory series Float EVOL Shifter: Shimano XT Deore Derailleur: Shimano XTR, 11-speed Cranks: Raceface turbine Brake: Shimano XT Deore hydraulic disc Handbar: Ibis carbon Fi Tires: Maxxis Minion DHF 2.3"" - Front and Rear This is not a ""Boost"" model. Cash or cashier's check only.",4200,3864,4200,4200,3792
46,S_Pus2vKqmE1vWGoGB,car,96 Civic Hatchback,"Testing the waters. Selling my 96 hatchback. Open for trade only if it's for a 03 - 04 Yamaha R6 Tag: jdm, EK9, hatchback, Honda, lowered",4000,2400,4000,4000,2216
47,S_oVVe6hEPRwekeOFf,furniture,FASHION OPTICAL KIDS' FRAME DISPLAY,"This Fashion Optical Kids' Frame Display is in excellent condition,  It measures 75""H x 23.5""W x 9""D.  It has 3 fixed vertical bars each 36"", plus two wall-mountable bars each 20.5"".  Comes with 20 frame clips that can be moved from bar to bar and spaced in any configuration.  Additional frame clips available at Fashion Optical.  LED lighting is available for an additional fee.",49,45,49,49,45
48,S_enI0UiJB7bMu7rRT,car,2003 350z,2003 350z has 120k miles. JWT Clutch and flywheel installed 2 months ago. K&N long tube cold air intake with 5/16 motordyne spacer kit. Lowered on tein springs. New Michelin A/S sport plus tires installed at 109k. Maintenced every 3500 miles. Just selling because I'm looking for a work truck. 8900 OBO Willing to trade for truck,8900,8188,8900,8900,8030
49,S_GruIAvM3luPmFY9h,furniture,4 Cubicles for Sale,"Cubes for sale, 4 pack (2 deep, 2 wide). H:47, W:72, D:72. Any chairs, cabinets etc. are included. Visa, MasterCard & Amex accepted.",400,240,400,400,219
50,S_nYUift6E20YiArj3,bike,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,200,184,200,200,183
51,S_FkNSFwXC6QwX4Ckm,bike,MASI 3V Volumetrica CCCP 1990 BRAND NEW (NOS),"IRD Blackbird Modified / Thomson X2 Masi CroMoly / Record C Record (36h) / DT Swiss / Velocity Deep V / Schwalbe Ultremo R Rear Wheel / Hub / Rim / Tire: Record (36h) / DT Swiss / Velocity Deep V / Schwalbe Ultremo R Saddle / Seat Post: Selle San Marco Rolls / Thomson Pedals / Chain: Chorus Gearing / Chainring / Misc.: Custom Ti 11-28 / Centaur SC Notes: Frame 7/100 (NOS), Built for Russian Olympic Team in 1990, Volumetrica (internal lug), Cyrillic script, 2007 Campy Groupset (NOS), 2006 Ergolevers (NOS), 1998 Record Hubs (NOS)",3450,2070,3450,3450,2013
52,S_vOI0TrqdLvAfT9N9,bike,TREK JET 20 S for 5-10 Year Old Kid,Fits 5-10 year old child depening on height Single Speed Coaster Brakes and Rear Hand Brake Low Miles Great Condition,100,76,100,100,75
53,S_gxrLQehHp8cyBXxB,housing,"Bottom Floor, 2 Bd/2 Bth, Large Patio! Close to downtown, W.C. area!","Unwind in Your New Home Call Now: 114 Sharene Lane, Walnut creek, CA, 94596 http://rent.braddockandloganhomes.com/i0k029 This is a 2 Bedroom, 1 Bath, approximately 950 Sq. Ft. Why look any more we have the Perfect home for you!!!Hurry they are going fast!! You will restore your energy so you can be doing the activities you enjoy. Make The Pines your next apartment home! Pets are also welcome! - Private Patio - Dishwasher - Cable Ready - Range (Electric/ Gas) - Air Conditioner (Window) - Heat (gas) - Microwave - Large Closets - Window Coverings - Bilingual Staff - Dishwasher - Gas/ Electric Range Stove - Courtesy Patrol - Small Community - Package Receiving - The Pines has 3 Pools that you can enjoy, to swim or just relax and sunbath!!! - High Speed Internet Ready Please call office for breed restriction. Monday: 10am - 6pm Thursday: 10am - 6pm Equal Housing Opportunity",2250,1350,2250,2250,1289
54,S_xBcIazZW4PhTVcnL,electronics,V-moda Crossfade LP2 Over Ear Headphones,"V-moda crossfade LP2 headphones in excellent condition. Perfect for producing, dj gigs and all music listening needs. Very flexible and lightweight with a very comfy fit. Comes with microphone chord, case and adapter. Case had some scratches on it, but still works great. I lost the other metal shield for the headphones so the right side is matte black while the left is metal. This doesn't affect sound quality.",90,54,90,90,45
55,S_E21fPmpSvtPCIGN5,electronics,Denon AVR 1909 Receiver,"Recently upgraded and no longer need my Denon receiver. Is in excellent condition and still have the original box, manual and remote.",200,184,200,200,181
56,S_VnPUMPUwB84qqyDB,furniture,BEAUTIFUL VICTORIAN DRESSER W MIRROR,"Wow! Here is a beautiful Victorian country pine wood dresser with mirror from San Francisco Estate.  Circa 1890's.  It is truly exquisite! The mirror looks fabulous, the wood is a beautiful honey color, and it still has its original drawer pulls. Pictures don't do it justice.  Must see! This fabulous Victorian dresser can be seen at Indian Alley Antique Store located at 412 Georgia Street, Vallejo, CA 94590. Phone: (Sorry, no texting) for more informtion and directions",299,179,299,299,151
57,S_lF57T1yU8OW214VM,furniture,Professional Office Furniture - Hutch,"We need to sell off some of our office furniture as we need to make some extra room. This is a very new piece fully assembled. We bought it from Coscto Furniture, 3 months back. Here's the link to the actual furniture. https://www.costco.com/Logan-U-shape-Workstation-with-Adjustable-Bridge.product.100245742.html Hutch includes power bar with two power outlets and two USB plugs which is installed on the back panel of the hutch. You will need to come and pick up the furniture. House is on first floor with 1 flight of stairs (15 steps). Rate negotiable.",300,180,300,300,160
58,S_3CA0m91RqL0p40PO,bike,Schwinn World Sport 14-speed road bike.,"Schwinn World Sport 14-speed road bike. 27"" (69cm) frame. 36"" (91cm) standover. Best fit someone 6'+. Specifications: Color: Blue. Shimano Exage dual brake levers. Shimano Exage Motion center pivot pulled side pulled brakes. Shimano stem friction shifters (2X7). Shimano biopace crank set: 40T, 52T. 170mm crank arms. Shimano cassette: 14T, 16T, 18T, 20T, 22T, 24T, 28T. Sun Laventer 700c wheels. 36 spokes. Shimano Exage Sealed Mech. FH-HG50 hubs. Quick release skewers. Discovery 700x28c road tires. Presta valves. Reflectors. 2 Specialized water bottle cages. New rear derailleur cable. Newly install rim tapes. New inner tubes. Good condition.",240,220,240,240,218
59,S_hI1QtYKH1xuYusmR,furniture,Entertainment center/ Media center,Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.,400,368,400,400,362
60,S_grLaBwU1ZIunviO7,phone,Iphone 6,Black iPhone 6 looks brand new with screen cover and case with a kickstand. Verizon phone Pittsburg. Has extended memory 64 gigs . Has new screen cover and kickstand case .,300,180,300,300,153
62,S_AbfrqxJRkJEoxA7c,electronics,"42"" Plasma Commercial Monitor (NO HDMI) with Speakers","Note: NO TV tuner, and NO HDMI input! Main characteristics Display format: 16:9; Brightness: 650 CD/m2; Contrast: 4000:1; Progressive scan: yes; Signal reception Sound Acoustic system: no; Interfaces Additionally Anti-glare coating: yes; Color: black Power consumption: 250 W; Dimensions (WxHxD): 40x24x3.5 inches; Speakers ea.",50,30,50,50,27
63,S_47n7gQ5loFWKDDog,housing,Adorable Furnished Cottage June 15-Aug 15,"Sweet N. Berkeley/Albany bungalow, fully furnished and cozy. Two bedrooms and one bath inside the main house, each with a full sized bed--and behind the main house is a guest cottage, the tiny cowboy cabin (""primitive""--no electricity) with an extra-long twin bed. Ideally located in a quiet neighborhood near all the shops and dining on Solano Ave.and close to Westbrae and the Gilman district with the beer garden, Berkeley Natural Grocery, Whole Foods, Philz Coffee Washer/dryer, dishwasher, large porch, outdoor patio with grill. This is NOT a situation appropriate for someone with lots of stuff--or for someone with a need to redecorate in my absence (it happened). Because the house is very small, there is no room for extra furniture or kitchen things. You don't even need towels or sheets. Everything is here. Think vacation rental. Small, housebroken dogs considered, if I can meet the dog in advance. There may be a non-refundable pet deposit. Please reply by email, which I use for initial screening.",3500,3220,3500,3500,3205
