scenario_id,post_id,category,title,description,listing_price,images,buyer_target,buyer_bottomline,seller_target,seller_bottomline,intersection,target_gap
S_VyKVFXMG7nyktfTR,6120824717,electronics,Macbook pros Macbook airs,looking for a macbook pro or macbook air I can arrange all kinds of MacBooks All macbooks serviced by certified apple technican all will look and function like new. Final Cut Pro. Microsoft Office 2016. Bluetooth. CD DVD player/burner. I can meet at a halfway point to cut down your drive time. thanks for looking.,300,electronics/6120824717_0.jpg,180,,300,,1.0,120
S_Ayo4sFGpTfMmIpRS,6144891544,furniture,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,125,furniture/6144891544_0.jpg,95,,125,,0.6,30
S_rx0x4DR3hD7EmDdo,6114793364,car,2014 TOYOTA PRIUS Hybrid,"Hi, I'm selling my 2014 Toyota Prius. It has only 65k miles. Backup camera, Bluetooth, CD, AUX, Keyless Go, There was no, engine, or transmission damage. Very clean inside, never smoke. Well maintained. Oil change every 5k miles with synthetic Toyota Original Oil. Registered until February 2019. Title on hands. It lost its clean title status due to rear bumper hit. Small scratch on the right side. I'm the second owner and had no any problem with it. The car is great, 50+ MPG. Will run 100k miles more easily. Call me or better text at any time",8900,car/6114793364_0.jpg,8188,,8900,,0.2,712
S_u3gZ0rZ2h7JtPhEy,6152332391,electronics,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond. On Amazon for more than this right now. This is a great deal.",75,electronics/6152332391_0.jpg,69,,75,,0.2,6
S_Ux7qjMwN9jH49n9M,6115599406,electronics,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system. Open to exchange for Sonos play 3, 5, or subwoofer. Warranty available from Bose.",220,,132,,220,,1.0,88
S_wMKChhRKj0MgNopu,6142745873,phone,Apple iPhone 5S 16gb Space Gray,Apple iPhone 5S 16gb Space Gray Like New Condition (no scratches anywhere) Will be reset to factory specs before sale Has always had a screen protector Includes Original box Includes Original charger Includes new Verizon 4G LTE SIM card,160,,121,,160,,0.6,39
S_WA7LD6RS1zRPbACa,6129108674,car,2006 BMW x5,"If you want to buy a trouble free car keep reading, if you are looking for a bargain and don't have a problem with huge repair costs after buying your car please find another one. Selling my 2006 BMW X5, 117K miles, Difficult to find it in these miles!!! Mint condition, it has had all maintenance done, recently had all gaskets on engine replaced so no oil leaks whatsoever. Has had the transmission and transfer case oils replaced in the last month. Brand new tires are about a month old. Does not need any work and runs great, 3.0 engine so very reliable and good on gas, about 25 mpg on freeway and 19 mpg around town driving. Spark plugs changed about 3 months ago. DVD player, navigation system, upgraded speakers, Panoramic glass roof, second battery, just was detailed and all carpets washed, again car does not need any work and runs great. Had an alignment performed a month ago after the tires were replaced. All brake pads are less than a year old and in great condition. Had them checked when tires were being installed. Car history clean.",9000,car/6129108674_0.jpg,8280,,9000,,0.2,720
S_pybIsssvLX7PAix7,6154318126,electronics,"Federal Pacific,  ( FPE), stab-lok Circuit Breaker","I have NEW original, hard to find, Federal Pacific Electric ( FPE), also known as STAB-LOK,  later also made by American Circuit Breaker and Challenger.  These are NEW, original manufacturer, (OEM), breakers, not after market or refurbished (used and cleaned).  I also have brand new original FPE sub panels and service panels of different types.  I have more breakers of other sizes as well.  I bought this equipment many years ago, before I retired and when Federal Pacific was Federal Pacific Electric and produced high grade equipment.  FPE breakers later got a bad rap when after market breakers came in to the market. Originally, Federal Pacific Electric ( FPE) was the only residential switching manufacturer using only copper, not aluminum, in their breakers and panels. This fact can be very important when installed near salt water, livestock or excessive moisture areas that can destroy aluminum. These materials are BRAND NEW and have been in my stock for over thirty to forty years.  If you have the need for FPE call me.                       I do not text. Also, have good stock of NEW original Zinsco / sylvania breakers and panels, again (NOT AFTER MARKET) The 2P80 in picture is gone.",110,,83,,110,,0.6,27
S_9DGMBWjwropt4dwn,6127883085,housing,GORGEOUS SINGLE HOUSE NEAR THE TEMPLES,"This charming family house has very bright natural light all year around and on a quiet residential area near the Mormon Temple. Close to highways 13 and 580 with easy commute to Berkeley, also SF by bus or casual car pool. Close to Montclair village, post office and banks, farmers' market, etc. Decorative fireplace in living room. All hardwood floors. Central heating system. Gourmet kitchen with granite counter top. Gas stove/oven, Refrigerator and Dishwasher included. Washer and Dryer hookups available. Lovely breakfast nook with lots of light. Detached one car garage and long driveway. Front/back yards. (It can be a nice organic vegetable garden.) No smoking/drugs. No pets. No section 8. Steady job, good credit. If interested, please leave names, phone numbers with self introduction for all occupants. What is your moving schedule and available time to view the house? Shown by appointment only. Thanks.",2599,housing/6127883085_0.jpg,2391,,2599,,0.2,208
S_10pCXQ3Uop95sxQF,6145044567,bike,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,600,bike/6145044567_0.jpg,456,,600,,0.6,144
S_ByhmG8D2SxX7uMws,6123601035,bike,SOMA Doublecross 60 Ultegra Ritchey Carbon,"This is a SOMA Doublecross with a great touring/hybrid setup.  It has a Ritchey Carbon fork and King headset.  Shimano Ultegra gear set and derailleurs.  The Mavic CXP wheelset is two months old and has fresh continental touring plus tires.  I just road it across Oregon and it performed beautifully.  The pedals are hybrid mountain SPD clip pedals. The bike does not include the Cateye system. I put the thinner tires on for mainly road touring, however, I also have some thicker tires that worked fine when riding dirt trails etc for more CX use.",800,bike/6123601035_0.jpg,480,,800,,1.0,320
S_DLTsTPwflfZ5zo2S,6133037883,housing,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust EMME Apartment Homes 6350 Christie Ave, Emeryville, CA 94608 We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances! All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation! Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart! Schedule your appointment today!! Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM! *Equal Housing Opportunity* *Prices Subject to Change Daily* Disclaimer: Floor Plan measurements are approximate and are for illustrative purposes only* •Secured entry •Shared pool •Fitness center •Near transportation •Clubhouse CHECK OUT OUR WEBSITE!",2834,housing/6133037883_0.jpg,1700,,2834,,1.0,1134
S_5leDIBxftSnHTfAp,6151447723,phone,iPad 2 32gb EXCELLENT CONDITION,"Gently used, pre-LOVED iPad 2 for sale. I purchased a new iPad & my prior device needs a new home. -White/silver Comes with charging cube, charging cable & beautiful leather case or poly/plastic case of your choice. FIRM ON PRICE!",175,phone/6151447723_0.jpg,133,,175,,0.6,42
S_lIP2Vh5SwWdnCzHP,6115717310,electronics,Travel Electrical Adaptor Connection Pack Adapter,"Features: *Each adapter clearly labeled for easy identification. *Selection guide makes adapter identification quick and easy *Deluxe organizer case holds all adapters *Mini-zipper case lets you carry just the adapters you need *Includes joiner and splitter utility adapters *Includes PORT retractable telephone cord 12 Telephone line adapters, 5 power line adapters, PORT retractable telephone cord, deluxe organizer case, selection guide, warranty card. Part # CMP0010 http://www.port.com",15,electronics/6115717310_0.jpg,13,,15,,0.2,2
S_6fW1xzNFhUw2k0sF,6144868292,furniture,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much Great For waiting room, client chairs etc.",18,,16,,18,,0.2,2
S_5onKB8vizJkTIz5L,6107749817,furniture,Armoire clothes or other Storage Cabinet PRICED TO SELL!,"Thank you for viewing this nice MCM wood armoire.  Great for storing clothes, craft items, and more!  It measures 38"" wide x 19"" deep x 60"" high.  The handle on the right door is missing, but easily replaced.",40,furniture/6107749817_0.jpg,36,,40,,0.2,4
S_sLKY1fi6Tcsd1MPs,6145651649,electronics,Panasonic DVD Player,"Panasonic DVD Player: in excellent condition with no blemishes, scratches or dents. Looks and operates as if new. Features: Excellent progressive-scan performance; front-panel progressive-scan button; solid MP3 support; top-notch picture; and slim. Comes with cables.",55,electronics/6145651649_0.jpg,41,,55,,0.6,14
S_gXp0ypiQrLGH7Z23,6154492583,electronics,Sol Republic Wireless Bluetooth Headphones,"A2 Sound Engines with clear highs and detailed deep bass Super-Power Wireless - Control Tracks Air from up to 150 feet away Connect to two devices simultaneously, including your phone, tablet or computer. Seamlessly answer an incoming call while watching a movie on your tablet. Built-in microphone for phone calls enables hands-free calling",155,electronics/6154492583_0.jpg,93,,155,,1.0,62
S_pXpaXp8Br4a1HTX2,6122750569,car,2010 camaro ss   on zl1 rims runs good 2018 tags clean title,selling my 2010 camaro ss  6.2L  auto and  maunal  runs good  120miles smoged   2018 tags    clean title     sun roof     on   20'' zl1 rims serious callers,14800,car/6122750569_0.jpg,11248,,14800,,0.6,3552
S_XnSytIZyOgJVBrlu,6132568561,bike,2016 Raleigh Kodiak II 27.5 Upgraded Size L 2x10 spd.,"Got for sale a sweet 2016 Raleigh Kodiak II Full suspension w/120mm of travel front and back by Rock Shox with lockout on the front and 3 positions on the rear from Fox Factory w/Boost and Kashima Coating (pictured is the RT3 but that's not longer available) full SRAM's components i.e. SRAM XX rear der. (long cage) XO front der. XO grip shift, 175mm Race Face Turbine with CINCH technology 38/26, Praxis Works 11/40 cassette, KS Lev eTen remote (100mm travel) dropper post, and a sweet ass Roval Traverse Alloy boost+ wheelset w/DT's internals, SRAM Guide Hydro RS brakes (4 piston caliper) frame and fork is 15mm/12mm t/a and a nice Fizïk Tundra 2 kium rails. if you like to see the bike Monday's or Thursday's are the best as those are my day off, let me know if you have any questions and hit me up @ PS: NO PEDAL OR OTHER ACCESSORIES INCLUDED Thanks",2000,bike/6132568561_0.jpg,1520,,2000,,0.6,480
S_UV916KTTRoY5gnHC,6105371869,housing,~~~STUDIO CHARM~~~,*Private bath *Fresh new look * very near to Emeryville Bay Street * West MAcArthur Bart 8 - 10 blocks away *good amount of closet space *Tiled floors Granite counters Tiled bath *Water & Pg&e payed by Tennant Please email for viewing,1400,housing/6105371869_0.jpg,1288,,1400,,0.2,112
S_3jIyfNT9obn8xtDJ,6152234218,bike,"Nishiki Colorado 18"", vintage mountain bike","At 18"" probably best fit for those 5'8"" to 5'11"" Double-butted Tange chromalloy throughout, front fork 4130 Cr-Mo 21 speeds: front derailleur Shimano LX, back Shimano Exage, analog levers Cantilever brakes. Elliptical Biopace crank. 26 X 1.50 aluminum Araya rims, 1.95 X 26 knobbies mounted Well-maintained, everything adjusted and lubed, solid Great paint, cosmetics for its age. This bike was in inside storage for almost 20 years. Just reconditioned. This simple bike uses excellent materials and is easy to service and repair with standard parts.  The analog shifting system is very accurate and easy to adjust. This is a great bike for someone who wants a simple, tough, well-made and reliable bike. It also looks nice. If something goes wrong or out-of-whack the first few weeks I'll be glad to fix it.",169,bike/6152234218_0.jpg,101,,169,,1.0,68
S_TZ1WfW9qusypMEfv,6153780184,electronics,BRAND NEW SAMSUNG'S SMART THINGS HUB,ASKING 60$... SERIOUS BUYERS ONLY PLEASE.. NO TRADES CASH ONLY.... I DON'T SHIP SO PLEASE DONT ASK... LOCAL PICKUP ONLY IN FREMONT CA... TEXT OR CALL ME ANYTIME,60,electronics/6153780184_0.jpg,45,,60,,0.6,15
S_W69OFwIbWrpW6xDL,6145047606,bike,KONA woman's bicycle with panniers,"Includes two Jandd panniers, Kryptonite lock, Shimano Deore gear shifts with 9 settings, bell, mirror. Great for city shopping and short trips.",200,bike/6145047606_0.jpg,120,,200,,1.0,80
S_xgKTMxiexkyJpxBU,6149639666,bike,Fully custom cannondale capo track bike,Great track and crit bike Very light frame Front wheel: 510 track wheel Cog: surly Bars: bmc compact road bars with lizard skin bar tape Stem: Itm mantis Light weight spacers,600,,552,,600,,0.2,48
S_E4wYjtIkcTocvX3N,6119912013,furniture,Howard Elliott Collection Puff Scroll Ottoman Ltd Ed Design,Howard Elliott Collection Puff Scroll Ottoman Ltd Ed Design Scroll Puff Ottoman: 24w x 24d x 18h. We used this beautiful ottoman with our Monte Luca recliner for a short period of time. The cover is the heavy stitched fabric with a limited edition design. We barely used it before the rocker got moved and the room turned into a playroom! Now it is just sitting in the corner not being used. It is not even broken in yet. Great addition to brighten up your nursery. Please leave your name and number with your response. Thanks!,150,furniture/6119912013_0.jpg,114,,150,,0.6,36
S_CwH6Qre6kQzqiFV5,6126761993,phone,SMARTPHONE LEATHER BELT HOLSTER,"or email me at: rocksmith281@gmail for further information. I ONLY DO IN PERSON TRANSACTIONS, NO TRADES, CASH ONLY. This stylish textured leather belt holster is big enough to accommodate the iPhone, Samsung, HTC, and many more. Features a felt lined interior for maximum protection, a solid metal clip and magnetic latch. Specifications Premium quality soft leather vertical carrying case for your phone Magnetic self-closing flap allows quiet and easy access to your phone Non-bulky belt clip and loops allow you to securely attach the clip to your belt Compatible with iPhone 6 Plus, iPhone 6S PlusiPhone 7 Plus, Samsung Note 2,3,4,5, and 7 as well as LG G3,G4,G5, HTC, Nexus, Xperia and many more Standard Battery",30,phone/6126761993_0.jpg,22,,30,,0.6,8
S_5T8ye595OlC5Zhki,6090845706,car,"2013 mercedes c250 *navigation* clean - $12,000","Up for sale is a 2013 c250 with only  45k. Interior is loaded with technology and in new condition, the paint is immaculate on the exterior. The tires are new. Additional options include: Navigation Attention Assist (warns you if your drowsy) Automatic Windsheild Wipers Bluetooth Audio Connectivity (for audio) Bluetooth Phone Connectivity (for phone calls) USB Connectivity AUX Connectivity iPod Connectivity New Tires Drilled Rotors LED Daytime Running Lights 7-Speed Automatic Transmission I don't need help to sell this vehicle, no trades of any kinds,",12000,car/6090845706_0.jpg,9120,,12000,,0.6,2880
S_hzjS4yUSlycEHasc,6131652108,housing,A 4 bedroom single family house for rent in central Fremont,"This is a single family house in an excellent condition. It will be available for move-in on July 2017. It's in a very nice and quiet community with great school district. Email me for viewing or further information. Thanks. Huge living room and family room, plus 4 spacious bedrooms 2 generous bathrooms with bathtubs Great school district (Oliveira elementary, Thornton junior high, American high) Few mins drive to Bart and Lucky and 99 Supermarkets Spacious two-car garage Easy access to FWY 880 and Dumbarton Bridge. Deposit: one month rent Lease: one year minimum, longer preferred No pet or smoking. No section 8. No sub-leasing. Tenant pay all utilities. Gardening is included in the rent",3200,,2432,,3200,,0.6,768
S_YTGF9NJaTXglUDmr,6153731886,electronics,2 x DJI Mavic Pro Original Battery / Batteries,- Selling 2 x Gently Used DJI Mavic Pro Batteries. - Absolutely nothing wrong with them.  Just not my thing.,150,,114,,150,,0.6,36
S_dPxVU5G2qrXAbvwc,6134422819,bike,2016 Ibis Mojo HD3 for sale - Large,"Get ready for summer riding! Immaculate condition, less than 100 miles. Frame:  Carbon fiber Color:  Matte Black Fork: Fox Factory series Float 36 Shock: Fox Factory series Float EVOL Shifter: Shimano XT Deore Derailleur: Shimano XTR, 11-speed Cranks: Raceface turbine Brake: Shimano XT Deore hydraulic disc Handbar: Ibis carbon Fi Tires: Maxxis Minion DHF 2.3"" - Front and Rear This is not a ""Boost"" model. Cash or cashier's check only.",4200,bike/6134422819_0.jpg,3864,,4200,,0.2,336
S_Pus2vKqmE1vWGoGB,6133349729,car,96 Civic Hatchback,"Testing the waters. Selling my 96 hatchback. Open for trade only if it's for a 03 - 04 Yamaha R6 Tag: jdm, EK9, hatchback, Honda, lowered",4000,car/6133349729_0.jpg,2400,,4000,,1.0,1600
S_oVVe6hEPRwekeOFf,6145264891,furniture,FASHION OPTICAL KIDS' FRAME DISPLAY,"This Fashion Optical Kids' Frame Display is in excellent condition,  It measures 75""H x 23.5""W x 9""D.  It has 3 fixed vertical bars each 36"", plus two wall-mountable bars each 20.5"".  Comes with 20 frame clips that can be moved from bar to bar and spaced in any configuration.  Additional frame clips available at Fashion Optical.  LED lighting is available for an additional fee.",49,furniture/6145263859_0.jpg,45,,49,,0.2,4
S_enI0UiJB7bMu7rRT,6101265471,car,2003 350z,2003 350z has 120k miles. JWT Clutch and flywheel installed 2 months ago. K&N long tube cold air intake with 5/16 motordyne spacer kit. Lowered on tein springs. New Michelin A/S sport plus tires installed at 109k. Maintenced every 3500 miles. Just selling because I'm looking for a work truck. 8900 OBO Willing to trade for truck,8900,car/6101265471_0.jpg,8188,,8900,,0.2,712
S_GruIAvM3luPmFY9h,6143863914,furniture,4 Cubicles for Sale,"Cubes for sale, 4 pack (2 deep, 2 wide). H:47, W:72, D:72. Any chairs, cabinets etc. are included. Visa, MasterCard & Amex accepted.",400,furniture/6143863914_0.jpg,240,,400,,1.0,160
S_nYUift6E20YiArj3,6151236842,bike,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,200,bike/6151236842_0.jpg,184,,200,,0.2,16
S_FkNSFwXC6QwX4Ckm,6123309159,bike,MASI 3V Volumetrica CCCP 1990 BRAND NEW (NOS),"IRD Blackbird Modified / Thomson X2 Masi CroMoly / Record C Record (36h) / DT Swiss / Velocity Deep V / Schwalbe Ultremo R Rear Wheel / Hub / Rim / Tire: Record (36h) / DT Swiss / Velocity Deep V / Schwalbe Ultremo R Saddle / Seat Post: Selle San Marco Rolls / Thomson Pedals / Chain: Chorus Gearing / Chainring / Misc.: Custom Ti 11-28 / Centaur SC Notes: Frame 7/100 (NOS), Built for Russian Olympic Team in 1990, Volumetrica (internal lug), Cyrillic script, 2007 Campy Groupset (NOS), 2006 Ergolevers (NOS), 1998 Record Hubs (NOS)",3450,bike/6123309159_0.jpg,2070,,3450,,1.0,1380
S_vOI0TrqdLvAfT9N9,6151842369,bike,TREK JET 20 S for 5-10 Year Old Kid,Fits 5-10 year old child depening on height Single Speed Coaster Brakes and Rear Hand Brake Low Miles Great Condition,100,bike/6151842369_0.jpg,76,,100,,0.6,24
S_gxrLQehHp8cyBXxB,6128787169,housing,"Bottom Floor, 2 Bd/2 Bth, Large Patio! Close to downtown, W.C. area!","Unwind in Your New Home Call Now: 114 Sharene Lane, Walnut creek, CA, 94596 http://rent.braddockandloganhomes.com/i0k029 This is a 2 Bedroom, 1 Bath, approximately 950 Sq. Ft. Why look any more we have the Perfect home for you!!!Hurry they are going fast!! You will restore your energy so you can be doing the activities you enjoy. Make The Pines your next apartment home! Pets are also welcome! - Private Patio - Dishwasher - Cable Ready - Range (Electric/ Gas) - Air Conditioner (Window) - Heat (gas) - Microwave - Large Closets - Window Coverings - Bilingual Staff - Dishwasher - Gas/ Electric Range Stove - Courtesy Patrol - Small Community - Package Receiving - The Pines has 3 Pools that you can enjoy, to swim or just relax and sunbath!!! - High Speed Internet Ready Please call office for breed restriction. Monday: 10am - 6pm Thursday: 10am - 6pm Equal Housing Opportunity",2250,housing/6128787169_0.jpg,1350,,2250,,1.0,900
S_xBcIazZW4PhTVcnL,6154431922,electronics,V-moda Crossfade LP2 Over Ear Headphones,"V-moda crossfade LP2 headphones in excellent condition. Perfect for producing, dj gigs and all music listening needs. Very flexible and lightweight with a very comfy fit. Comes with microphone chord, case and adapter. Case had some scratches on it, but still works great. I lost the other metal shield for the headphones so the right side is matte black while the left is metal. This doesn't affect sound quality.",90,electronics/6154431922_0.jpg,54,,90,,1.0,36
S_E21fPmpSvtPCIGN5,6154634393,electronics,Denon AVR 1909 Receiver,"Recently upgraded and no longer need my Denon receiver. Is in excellent condition and still have the original box, manual and remote.",200,electronics/6154634393_0.jpg,184,,200,,0.2,16
S_VnPUMPUwB84qqyDB,6144789560,furniture,BEAUTIFUL VICTORIAN DRESSER W MIRROR,"Wow! Here is a beautiful Victorian country pine wood dresser with mirror from San Francisco Estate.  Circa 1890's.  It is truly exquisite! The mirror looks fabulous, the wood is a beautiful honey color, and it still has its original drawer pulls. Pictures don't do it justice.  Must see! This fabulous Victorian dresser can be seen at Indian Alley Antique Store located at 412 Georgia Street, Vallejo, CA 94590. Phone: (Sorry, no texting) for more informtion and directions",299,furniture/6144789560_0.jpg,179,,299,,1.0,120
S_lF57T1yU8OW214VM,6145063936,furniture,Professional Office Furniture - Hutch,"We need to sell off some of our office furniture as we need to make some extra room. This is a very new piece fully assembled. We bought it from Coscto Furniture, 3 months back. Here's the link to the actual furniture. https://www.costco.com/Logan-U-shape-Workstation-with-Adjustable-Bridge.product.100245742.html Hutch includes power bar with two power outlets and two USB plugs which is installed on the back panel of the hutch. You will need to come and pick up the furniture. House is on first floor with 1 flight of stairs (15 steps). Rate negotiable.",300,furniture/6145063936_0.jpg,180,,300,,1.0,120
S_3CA0m91RqL0p40PO,6151354891,bike,Schwinn World Sport 14-speed road bike.,"Schwinn World Sport 14-speed road bike. 27"" (69cm) frame. 36"" (91cm) standover. Best fit someone 6'+. Specifications: Color: Blue. Shimano Exage dual brake levers. Shimano Exage Motion center pivot pulled side pulled brakes. Shimano stem friction shifters (2X7). Shimano biopace crank set: 40T, 52T. 170mm crank arms. Shimano cassette: 14T, 16T, 18T, 20T, 22T, 24T, 28T. Sun Laventer 700c wheels. 36 spokes. Shimano Exage Sealed Mech. FH-HG50 hubs. Quick release skewers. Discovery 700x28c road tires. Presta valves. Reflectors. 2 Specialized water bottle cages. New rear derailleur cable. Newly install rim tapes. New inner tubes. Good condition.",240,bike/6151354891_0.jpg,220,,240,,0.2,20
S_hI1QtYKH1xuYusmR,6144765498,furniture,Entertainment center/ Media center,Beautiful entertainment center/Media center.  Three pieces... Oak with CD/DVD doors.  Subfoofer compartment... speaker compartments... glass shelves to display your decorative pieces.,400,,368,,400,,0.2,32
